Trial Number,Salinity,Conductivity Theoretical,Conductivity Start,Conductivity End,Start Time,Start Date,Pressure (psi),Pump Power,Good,Reason,Researcher,Scale Time 1 (min),Scale Time 2 (min),Batch Flowrate
1,24,8.42,5.66,,18:45,13-Oct,200,22.5,0,,,,,
2,24,8.42,7.22,,21:15,24-Oct,450,22.5,1,,,437,526,435
3,24,8.42,5.94,,18:05,30-Oct,450,22.5,1,,,1.00E+03,1.00E+08,486
4,24,8.42,8.23,9.18,17:35,31-Oct,450,22.5,0,repeat data,,,,
5,24,8.42,8.14,7.79,21:45,1-Nov,455,22.5,1,,"Jiayuan, Tyler",692,746+,513
6,24,8.42,7.81,11.05,21:35,4-Nov,450,22.5,0,not set up right,"Jiayuan, Tyler",111,120,
7,24,8.42,7.91,7.92,21:49,5-Nov,450,22.5,1,,Tyler,133,175,
8,24,8.42,7.86,8.1,8:36,7-Nov,450,22.5,0,repeat data,Jiayuan,,,
9,24,8.42,7.86,8.05,21:07,7-Nov,450,22.5,0,repeat data,Tyler,,,
10,24,8.42,7.9,,12:10,9-Nov,450,22.5,1,,Jiayuan,83,111,370
11,24,8.42,7.79,,17:05,10-Nov,450,22.5,1,,Tyler,95,127,395
12,24,8.42,6.95,,,16-Nov,450,22.5,1,,J,231,360,375
13,24,8.42,-,-,,17-Nov,450,22.5,0,,J,>225,,
14,24,8.42,7.1,7.23,,19-Nov,450,22.5,1,,J,185,231,335
15,24,8.42,6.9,,,20-Nov,450,22.5,1,,J,138,168,
16,24,8.42,6.2,6.77,,25-Nov,450,22.5,1,,J,571,720,342
17,18,,6.26,7.07,,14-Dec,450,22.5,0,,,,577,
22,,,7.65,,,,,,,,,285,476,
24,,,6.63,,,,,,,,,615,416,
