Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.009093761444091797,-5.0,9,0.0,0
0.5260641574859619,-5.0,9,0.0,8.3
1.662611722946167,-5.0,9,0.0,8.3
2.671398639678955,-5.0,9,0.0,8.3
3.663994789123535,-5.0,9,0.0,8.2
4.673914909362793,-0.7649281482822845,9,0.0,8.2
5.668084144592285,-0.4648049461920527,9,0.0,8.2
6.660200357437134,-0.498151968646523,9,0.0,8.2
7.669097661972046,-0.5314989911009933,9,0.0,8.2
8.661980390548706,-1.1317453952814573,9,0.0,8.2
9.669963359832764,-5.0,9,0.0,8.2
